descriptor,category,subtype,amount,is_debit,merchant_unseen,notes
PANERA BREAD #2231 AUSTIN TX,food_drink,food_drink/restaurant,18.45,true,true,
OLIVE GARDEN 00094 DENVER CO,food_drink,food_drink/restaurant,52.10,true,false,
TST* THE FRENCH LAUNDRY,food_drink,food_drink/restaurant,310.00,true,true,
DUTCH BROS COFFEE 077,food_drink,food_drink/coffee,6.25,true,true,
SQ *PEETS COFFEE #401,food_drink,food_drink/coffee,4.80,true,false,
TIM HORTONS #5521,food_drink,food_drink/coffee,3.95,true,true,
POPEYES LOUISIANA KIT,food_drink,food_drink/fast_food,12.40,true,true,
MCDONALDS F1234 CHICAGO IL,food_drink,food_drink/fast_food,9.15,true,false,
IN-N-OUT BURGER 256,food_drink,food_drink/fast_food,11.20,true,true,
TST* THE DEAD RABBIT NEW YORK NY,food_drink,food_drink/bar,46.00,true,true,
YARD HOUSE DENVER CO,food_drink,food_drink/bar,38.75,true,false,
PROHIBITION LOUNGE,food_drink,food_drink/bar,29.50,true,true,
DOORDASH*WENDYS,food_drink,food_drink/delivery,24.30,true,false,
UBER EATS 8005551234,food_drink,food_drink/delivery,31.05,true,false,
SLICE*TONYS PIZZA,food_drink,food_drink/delivery,22.10,true,true,
TRADER JOES #182 BROOKLYN NY,groceries,groceries/supermarket,63.42,true,false,
H-E-B #042 HOUSTON TX,groceries,groceries/supermarket,88.15,true,true,
STOP & SHOP 0231,groceries,groceries/supermarket,54.90,true,true,
7-ELEVEN 32114,groceries,groceries/convenience,8.50,true,false,
AMPM #82211,groceries,groceries/convenience,6.75,true,true,
CASEYS GEN STORE 442,groceries,groceries/convenience,12.20,true,true,
SPROUTS FARMERS MKT,groceries,groceries/specialty,34.60,true,false,
THE FRESH MARKET #45,groceries,groceries/specialty,41.30,true,true,
TOTAL WINE AND MORE,groceries,groceries/specialty,58.00,true,false,
WALMART SUPERCENTER #1234,shopping,shopping/general_merch,76.21,true,false,
KOHLS #0897,shopping,shopping/general_merch,62.40,true,true,
FIVE BELOW 521,shopping,shopping/general_merch,21.15,true,true,
LULULEMON ATHLETICA,shopping,shopping/clothing,118.00,true,true,
OLD NAVY US 00112,shopping,shopping/clothing,44.95,true,false,
MADEWELL #221,shopping,shopping/clothing,89.50,true,true,
BEST BUY #221 SAN JOSE CA,shopping,shopping/electronics,249.99,true,false,
FRYS ELECTRONICS,shopping,shopping/electronics,159.00,true,true,
GAMESTOP #4412,shopping,shopping/electronics,69.99,true,false,
AMZN MKTP US*2K4LM,shopping,shopping/online_marketplace,37.49,true,false,
POSHMARK INC,shopping,shopping/online_marketplace,28.00,true,true,
EBAY O*12-09823,shopping,shopping/online_marketplace,54.30,true,false,
UBER *TRIP HELP.UBER.COM,transportation,transportation/rideshare,23.80,true,false,
WAYMO ONE,transportation,transportation/rideshare,19.50,true,true,
LYFT *RIDE,transportation,transportation/rideshare,14.25,true,false,
76 #4421 LOS ANGELES CA,transportation,transportation/fuel,48.00,true,true,
SHELL OIL 5742411 MIAMI FL,transportation,transportation/fuel,52.60,true,false,
MARATHON PETRO 88,transportation,transportation/fuel,40.10,true,true,
CTA VENTRA CHICAGO,transportation,transportation/transit,5.00,true,true,
BART-POWELL ST SF,transportation,transportation/transit,4.40,true,false,
AMTRAK .COM,transportation,transportation/transit,87.00,true,true,intercity rail
PARKMOBILE 8004597275,transportation,transportation/parking_tolls,3.50,true,true,
SP *SPOTHERO,transportation,transportation/parking_tolls,18.00,true,false,
CITY OF SF PARKING MTR,transportation,transportation/parking_tolls,2.25,true,true,
FRONTIER AIRLINES,travel,travel/airline,128.00,true,true,
DELTA AIR 0062317654321,travel,travel/airline,415.20,true,false,
SPIRIT AIR 487,travel,travel/airline,96.40,true,true,
BOOKING.COM HOTEL,travel,travel/lodging,212.00,true,true,
MARRIOTT HOTELS DTWN,travel,travel/lodging,289.00,true,false,
LA QUINTA INN #4421,travel,travel/lodging,134.50,true,true,
TURO INC,travel,travel/car_rental,176.00,true,true,
HERTZ RENT-A-CAR,travel,travel/car_rental,243.00,true,false,
SIXT RENT A CAR,travel,travel/car_rental,158.00,true,true,
XCEL ENERGY,bills_utilities,bills_utilities/electric_gas,142.00,true,true,
PG&E WEB ONLINE PMT,bills_utilities,bills_utilities/electric_gas,98.50,true,false,
PSE&G,bills_utilities,bills_utilities/electric_gas,121.30,true,true,
AMERICAN WATER,bills_utilities,bills_utilities/water,64.00,true,true,
SFPUC WATER,bills_utilities,bills_utilities/water,58.20,true,false,
DENVER WATER,bills_utilities,bills_utilities/water,49.75,true,true,
GOOGLE FIBER,bills_utilities,bills_utilities/internet_phone,70.00,true,true,
COMCAST CABLE COMM,bills_utilities,bills_utilities/internet_phone,89.99,true,false,
AT&T *PAYMENT,bills_utilities,bills_utilities/internet_phone,75.00,true,false,
FARMERS INSURANCE,bills_utilities,bills_utilities/insurance,132.00,true,true,
GEICO *AUTO,bills_utilities,bills_utilities/insurance,88.00,true,false,
BLUE CROSS BLUE SHIELD,bills_utilities,bills_utilities/insurance,310.00,true,true,health insurance premium
PARAMOUNT+,subscriptions_entertainment,subscriptions_entertainment/streaming,11.99,true,true,
NETFLIX.COM,subscriptions_entertainment,subscriptions_entertainment/streaming,15.49,true,false,
MAX*HBOMAX.COM,subscriptions_entertainment,subscriptions_entertainment/streaming,15.99,true,false,
BLIZZARD ENTERTAINMENT,subscriptions_entertainment,subscriptions_entertainment/gaming,59.99,true,true,
STEAMGAMES.COM 425952,subscriptions_entertainment,subscriptions_entertainment/gaming,29.99,true,false,
PLAYSTATION NETWORK,subscriptions_entertainment,subscriptions_entertainment/gaming,9.99,true,false,
DICE FM,subscriptions_entertainment,subscriptions_entertainment/events,35.00,true,true,
TICKETMASTER 8006538000,subscriptions_entertainment,subscriptions_entertainment/events,128.50,true,false,
FANDANGO COM,subscriptions_entertainment,subscriptions_entertainment/events,24.00,true,true,movie tickets
GITHUB.COM,subscriptions_entertainment,subscriptions_entertainment/software,4.00,true,true,
ADOBE *CREATIVE CLOUD,subscriptions_entertainment,subscriptions_entertainment/software,54.99,true,false,
OPENAI *CHATGPT SUBSCR,subscriptions_entertainment,subscriptions_entertainment/software,20.00,true,true,
WALMART PHARMACY 10,health_wellness,health_wellness/pharmacy,14.20,true,true,pharmacy not general merch
CVS/PHARMACY #04567,health_wellness,health_wellness/pharmacy,23.40,true,false,
WALGREENS #2231 PHOENIX AZ,health_wellness,health_wellness/pharmacy,9.99,true,false,
ZOCDOC,health_wellness,health_wellness/medical,40.00,true,true,
QUEST DIAGNOSTICS,health_wellness,health_wellness/medical,75.00,true,false,
TELADOC HEALTH,health_wellness,health_wellness/medical,55.00,true,true,
PELOTON,health_wellness,health_wellness/fitness,44.00,true,true,
PLANET FITNESS #221,health_wellness,health_wellness/fitness,24.99,true,false,
CLASSPASS,health_wellness,health_wellness/fitness,79.00,true,true,
MONTHLY MAINTENANCE FEE,financial,financial/bank_fee,12.00,true,false,
ATM SURCHARGE FEE,financial,financial/bank_fee,3.00,true,false,
